event_id,investigation_type,accident_number,event_date,location,country,injury_severity,aircraft_damage,aircraft_category,registration_number,make,model,amateur_built,number_of_engines,engine_type,far_description,purpose_of_flight,weather_condition,broad_phase_of_flight,publication_date,state,year,calculated_severity,town,total_fatal_injuries,total_serious_injuries,total_minor_injuries,total_uninjured
20020909X01562,Accident,SEA82DA022,1982-01-01,"Pullman, Wa",United States,Fatal,Substantial,Airplane,N2482N,Cessna,140,No,1.0,Reciprocating,Part 91: General Aviation,Personal,VMC,Takeoff,01-01-1982,Washington,1982,Uninjured,Pullman,0.0,0.0,0.0,2.0
20020909X01561,Accident,NYC82DA015,1982-01-01,"East Hanover, Nj",United States,Fatal,Substantial,Airplane,N7967Q,Cessna,401B,No,2.0,Reciprocating,Part 91: General Aviation,Business,IMC,Landing,01-01-1982,New Jersey,1982,Uninjured,East Hanover,0.0,0.0,0.0,2.0
20020917X02134,Accident,FTW82FRA14,1982-01-02,"Hearne, Tx",United States,Fatal,Destroyed,Airplane,N758SK,Cessna,R172K,No,1.0,Reciprocating,Part 91: General Aviation,Personal,IMC,Takeoff,02-01-1983,Texas,1982,Fatal,Hearne,1.0,0.0,0.0,0.0
20020917X02117,Accident,FTW82FPG08,1982-01-02,"Little Rock, Ar",United States,Fatal,Destroyed,Airplane,N9779L,Beech,19,No,1.0,Reciprocating,Part 91: General Aviation,Personal,IMC,Cruise,02-01-1983,Arkansas,1982,Fatal,Little Rock,2.0,0.0,0.0,0.0
20020917X01656,Accident,ANC82FAG14,1982-01-02,"Skwenta, Ak",United States,Fatal,Destroyed,Airplane,N7641A,Cessna,180,No,1.0,Reciprocating,Part 91: General Aviation,Personal,VMC,Unknown,02-01-1983,Alaska,1982,Fatal,Skwenta,3.0,0.0,0.0,0.0
20020917X02481,Accident,NYC82DA016,1982-01-02,"Galeton, Pa",United States,Fatal,Substantial,Airplane,N25084,Cessna,172,No,1.0,Reciprocating,Part 91: General Aviation,Personal,VMC,Taxi,02-01-1983,Pennsylvania,1982,Uninjured,Galeton,0.0,0.0,0.0,1.0
20020917X01894,Accident,CHI82FEC08,1982-01-02,"Ypsilanti, Mi",United States,Fatal,Substantial,Airplane,N68812,Cessna,152,No,1.0,Reciprocating,Part 91: General Aviation,Instructional,VMC,Takeoff,02-01-1983,Michigan,1982,Uninjured,Ypsilanti,0.0,0.0,0.0,1.0
20020917X01776,Accident,CHI82DA020,1982-01-02,"Charlotte, Mi",United States,Fatal,Substantial,Airplane,N1549Q,Cessna,150L,No,1.0,Reciprocating,Part 91: General Aviation,Personal,VMC,Approach,02-01-1983,Michigan,1982,Uninjured,Charlotte,0.0,0.0,0.0,2.0
20020917X01657,Accident,ATL82DA027,1982-01-02,"Chamblee, Ga",United States,Fatal,Substantial,Helicopter,N5745Y,Bell,206L-1,No,1.0,Turbo Shaft,Part 135: Air Taxi & Commuter,Unknown,VMC,Approach,02-01-1983,Georgia,1982,Uninjured,Chamblee,0.0,0.0,0.0,1.0
20020917X02333,Incident,LAX82IA034,1982-01-03,"Van Nuys, Ca",United States,Incident,Minor,Airplane,N5018P,Piper,Pa-24-180,No,1.0,Reciprocating,Part 91: General Aviation,Personal,VMC,Approach,03-01-1983,California,1982,Uninjured,Van Nuys,0.0,0.0,0.0,1.0
20020917X02255,Accident,LAX82FA040,1982-01-03,"10 Nm W Lee Vin, Ca",United States,Fatal,Destroyed,Airplane,N28912,Grumman,Aa-5B,No,1.0,Reciprocating,Part 91: General Aviation,Personal,IMC,Descent,03-01-1983,California,1982,Fatal,10 Nm W Lee Vin,2.0,1.0,0.0,0.0
20020917X01905,Accident,DCA82AA008,1982-01-03,"Ashland, Va",United States,Fatal,Destroyed,Airplane,N2620L,Cessna,414A,No,2.0,Reciprocating,Part 91: General Aviation,Business,IMC,Approach,03-01-1983,Virginia,1982,Fatal,Ashland,8.0,0.0,0.0,0.0
20020917X02340,Accident,MIA82DA030,1982-01-03,"Cocoa, Fl",United States,Fatal,Substantial,Airplane,N94252,Cessna,210L,No,1.0,Reciprocating,Part 91: General Aviation,Personal,VMC,Descent,03-01-1983,Florida,1982,Minor,Cocoa,0.0,0.0,1.0,1.0
20020917X01992,Accident,FTW82DA036,1982-01-03,"Fort Worth, Tx",United States,Fatal,Substantial,Airplane,N71054,Cessna,182,No,1.0,Reciprocating,Part 91: General Aviation,Personal,VMC,Approach,03-01-1983,Texas,1982,Minor,Fort Worth,0.0,0.0,2.0,0.0
